regime,scenario,case,obj_type,alt_km,inc_deg,B,lifetime_d,delta_lifetime_d,delta_a_km,encounter_count,extra_impulse_ms,extra_deltav_ms,orbital_energy_removed_J_perkg,reentry
moderate,baseline,D_target_550,target,550,97.6,20.0,1059.1852896125088,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,D_target_550,target,550,97.6,20.0,1059.1852896125088,0.0,0.0,1,3.922828002204806e-05,3.922828002204806e-05,0.0,True
moderate,tracking,D_target_550,target,550,97.6,20.0,1054.612315738761,4.572973873747742,0.0,2,0.1624932077511012,0.1624932077511012,0.0,True
moderate,baseline,D_protected_550,protected,550,97.6,85.0,1826.5,0.0,0.0,0,0.0,0.0,0.0,False
moderate,fixed_pulse,D_protected_550,protected,550,97.6,85.0,1826.5,0.0,9.780563232197892e-05,1,3.322096353185377e-05,3.322096353185377e-05,0.4099063184984067,False
moderate,tracking,D_protected_550,protected,550,97.6,85.0,1826.5,0.0,0.0,0,1.2698409310229627e-81,1.2698409310229627e-81,0.0,False
moderate,baseline,E_target_400_i28,target,400,28.5,15.0,68.18655093810578,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,E_target_400_i28,target,400,28.5,15.0,68.19766614039274,-0.011115202286958947,0.0,1,0.0014714160407059695,0.0014714160407059695,0.0,True
moderate,tracking,E_target_400_i28,target,400,28.5,15.0,64.28257273784104,3.9039782002647456,0.0,2,1.6455167717012111,1.6455167717012111,0.0,True
moderate,baseline,E_protected_400_i51,protected,400,51.6,70.0,299.06020912999156,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,E_protected_400_i51,protected,400,51.6,70.0,299.06020912999156,0.0,0.0,1,1.0022160896529422e-05,1.0022160896529422e-05,0.0,True
moderate,tracking,E_protected_400_i51,protected,400,51.6,70.0,298.53892049186095,0.5212886381306134,0.0,29,0.006158165535506679,0.006158165535506679,0.0,True
moderate,baseline,F_target_750,target,750,98.0,25.0,1826.5,0.0,0.0,0,0.0,0.0,0.0,False
moderate,fixed_pulse,F_target_750,target,750,98.0,25.0,1826.5,0.0,6.613861842197366e-06,1,3.2136103590061524e-06,3.2136103590061524e-06,0.025993239702646144,False
moderate,tracking,F_target_750,target,750,98.0,25.0,1826.5,0.0,0.019798829593128175,2,0.0096391507525965,0.0096391507525965,77.81190500173409,False
moderate,baseline,F_protected_750,protected,750,98.0,100.0,1826.5,0.0,0.0,0,0.0,0.0,0.0,False
moderate,fixed_pulse,F_protected_750,protected,750,98.0,100.0,1826.5,0.0,2.776927431114018e-06,1,1.4296206001490412e-06,1.4296206001490412e-06,0.010897498714577228,False
moderate,tracking,F_protected_750,protected,750,98.0,100.0,1826.5,0.0,0.0,0,7.378027634680593e-224,7.378027634680593e-224,0.0,False
moderate,baseline,G_target_250,target,250,51.6,10.0,1.8680968942986511,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,G_target_250,target,250,51.6,10.0,1.865191722827236,0.0029051714714150023,0.0,1,0.030859380291073275,0.030859380291073275,0.0,True
moderate,tracking,G_target_250,target,250,51.6,10.0,0.6670448748119039,1.2010520194867471,0.0,1,38.11770649464861,38.11770649464861,0.0,True
moderate,baseline,G_protected_250,protected,250,51.6,80.0,11.688862712603248,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,G_protected_250,protected,250,51.6,80.0,11.667351124481556,0.02151158812169207,0.0,1,0.008482635139072449,0.008482635139072449,0.0,True
moderate,tracking,G_protected_250,protected,250,51.6,80.0,11.688862712603248,0.0,0.0,0,1.5957074241699048e-79,1.5957074241699048e-79,0.0,True
